_id,date,precipitation,temp_max,temp_min,wind,weather,atmoPressure,stationId
ObjectId(63da4653a60d5e13edf30e23),2012-01-01T00:00:00.000Z,0,12.8,5,4.7,drizzle,73.9082419765203,0
ObjectId(63da4653a60d5e13edf30e24),2012-01-02T00:00:00.000Z,10.9,10.6,2.8,4.5,rain,31.04485853895052,3
ObjectId(63da4653a60d5e13edf30e25),2012-01-03T00:00:00.000Z,0.8,11.7,7.2,2.3,rain,1.0651249788876254,2
ObjectId(63da4653a60d5e13edf30e26),2012-01-04T00:00:00.000Z,20.3,12.2,5.6,4.7,rain,93.26348065487596,1
ObjectId(63da4653a60d5e13edf30e27),2012-01-05T00:00:00.000Z,1.3,8.9,2.8,6.1,rain,66.71102462113284,2
ObjectId(63da4653a60d5e13edf30e28),2012-01-06T00:00:00.000Z,2.5,4.4,2.2,2.2,rain,65.4100291242479,0
ObjectId(63da4653a60d5e13edf30e29),2012-01-07T00:00:00.000Z,0,7.2,2.8,2.3,rain,62.01879120502796,0
ObjectId(63da4653a60d5e13edf30e2a),2012-01-08T00:00:00.000Z,0,10,2.8,2,sun,7.601603019440558,1
ObjectId(63da4653a60d5e13edf30e2b),2012-01-09T00:00:00.000Z,4.3,9.4,5,3.4,rain,4.812762460079578,0
ObjectId(63da4653a60d5e13edf30e2c),2012-01-10T00:00:00.000Z,1,6.1,0.6,3.4,rain,79.06364706196518,3
ObjectId(63da4653a60d5e13edf30e2d),2012-01-11T00:00:00.000Z,0,6.1,-1.1,5.1,sun,96.33351569111696,0
ObjectId(63da4653a60d5e13edf30e2e),2012-01-12T00:00:00.000Z,0,6.1,-1.7,1.9,sun,70.46381113286256,0
ObjectId(63da4653a60d5e13edf30e2f),2012-01-13T00:00:00.000Z,0,5,-2.8,1.3,sun,75.14272824463356,1
ObjectId(63da4653a60d5e13edf30e30),2012-01-14T00:00:00.000Z,4.1,4.4,0.6,5.3,snow,73.78298781267087,3
ObjectId(63da4653a60d5e13edf30e31),2012-01-15T00:00:00.000Z,5.3,1.1,-3.3,3.2,snow,46.98614154107083,3
ObjectId(63da4653a60d5e13edf30e32),2012-01-16T00:00:00.000Z,2.5,1.7,-2.8,5,snow,19.048243529507747,3
ObjectId(63da4653a60d5e13edf30e33),2012-01-17T00:00:00.000Z,8.1,3.3,0,5.6,snow,52.89157916960529,2
ObjectId(63da4653a60d5e13edf30e34),2012-01-18T00:00:00.000Z,19.8,0,-2.8,5,snow,47.228385200200776,2
ObjectId(63da4653a60d5e13edf30e35),2012-01-19T00:00:00.000Z,15.2,-1.1,-2.8,1.6,snow,66.01582332344907,2
ObjectId(63da4653a60d5e13edf30e36),2012-01-20T00:00:00.000Z,13.5,7.2,-1.1,2.3,snow,82.20131640508068,2
ObjectId(63da4653a60d5e13edf30e37),2012-01-21T00:00:00.000Z,3,8.3,3.3,8.2,rain,34.56734747024793,2
ObjectId(63da4653a60d5e13edf30e38),2012-01-22T00:00:00.000Z,6.1,6.7,2.2,4.8,rain,83.23806511450178,2
ObjectId(63da4653a60d5e13edf30e39),2012-01-23T00:00:00.000Z,0,8.3,1.1,3.6,rain,7.560831900718795,1
ObjectId(63da4653a60d5e13edf30e3a),2012-01-24T00:00:00.000Z,8.6,10,2.2,5.1,rain,85.86717578735157,0
